date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:54	161280/161280	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:01%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/matcha-set....jpg?v=1701176936	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/matcha-set...1edd.jpg	(from https://shoppu.mochi.at/produkte/p/matcha-schussel-set-grun)
13:19:55	56555/56555	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:24%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/Bambusloeffel-hell-gross.jpg?v=1701866834	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/Bambusloeffel-hell-gross971f.jpg	(from https://shoppu.mochi.at/produkte/p/reisloffel-aus-bambus)
13:19:55	127696/127696	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:25%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/075a87105b6623c20568e2e467a0924c.jpg?v=1666185673	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/075a87105b6623c20568e2e467a0924c6742.jpg	(from https://shoppu.mochi.at/produkte/p/umeboshi-paste-100g)
13:19:55	92446/92446	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:26%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/Saucen_-Oele-Essige.jpg?v=1733239348	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/Saucen_-Oele-Essige06f6.jpg	(from https://shoppu.mochi.at/produkte/p/vegetarisches-shiro-dashi)
13:19:55	233866/233866	---MCZ	200	added ('OK')	text/html	etag:%223918a-iwtvF1Gsa/fUzm9KcZ/Z9ANaeo4%22	https://shoppu.mochi.at/produkte/	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/index.html	(from https://shoppu.mochi.at/produkte/p/gomedare-sesam-dashi)
13:19:55	93646/93646	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:28%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/Helle-Soja-Sauce.jpg?v=1668780422	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/Helle-Soja-Sauce6cbd.jpg	(from https://shoppu.mochi.at/produkte/p/helle-soja-sauce-mochi-bio)
13:19:56	99564/99564	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:31%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/yuzu-juice-of-ja-higashi-tokushima.jpg?v=1657889861	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/yuzu-juice-of-ja-higashi-tokushima6400.jpg	(from https://shoppu.mochi.at/produkte/p/yuzu-juice-higashi-tokushima-360ml)
13:19:56	132131/132131	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:15:41%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/46297d3dcc93c5fa21e09636aec66e2d.jpg?v=1666184874	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/46297d3dcc93c5fa21e09636aec66e2db46f.jpg	(from https://shoppu.mochi.at/produkte/p/premium-dried-wakame-pieces-15g)
13:19:57	204822/204822	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:32%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/Japanese-Premium-Seaweed-Mixed-SAlad.jpg?v=1657721606	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/Japanese-Premium-Seaweed-Mixed-SAladd435.jpg	(from https://shoppu.mochi.at/produkte/p/japanese-premium-seaweed-mixed-salad-20g)
13:19:57	277535/277535	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:15:15%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/Katsuobushi.jpg?v=1664459217	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/Katsuobushi757a.jpg	(from https://shoppu.mochi.at/produkte/p/bonito-flakes-katsuobushi-40g)
